uri_path	country	hits
/mediawiki/1.24/mediawiki-1.24.1.tar.gz	China	15786
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	China	10838
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	China	2892
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	United States	1647
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	United States	1562
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Germany	922
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Germany	894
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	China	585
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Vietnam	399
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	France	397
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Unknown	334
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	France	317
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Unknown	305
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	India	274
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	China	259
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Japan	254
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Russia	252
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	United Kingdom	251
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	United States	239
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	India	233
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	United Kingdom	232
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Brazil	227
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Japan	213
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	China	207
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Canada	205
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Russia	195
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Morocco	176
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Spain	171
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Brazil	163
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Netherlands	160
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Spain	160
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	United States	159
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Netherlands	144
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Germany	143
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	United States	141
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Canada	129
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Germany	127
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Australia	123
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Morocco	119
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Italy	116
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Italy	115
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Republic of Korea	104
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Republic of Korea	103
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	China	100
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Switzerland	99
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Iran	96
